track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-20,1,3,WIKI KANE,28,5/2,3/1,5.1,turf,5 furlongs,Ranks #1 in our power figure blend; model 28% vs 23% morning-line implied (+5.1 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-20,3,9,MISSED FORTUNE,33,2/1,5/2,15.7,turf,1 mile,Ranks #1 in our power figure blend; model 33% vs 18% morning-line implied (+15.7 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-20,8,11,BIRKIN GIRL,21,4/1,4/1,7.6,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 21% vs 13% morning-line implied (+7.6 pts),CHECKED_NO_CHANGES,true
