track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-24,3,5,KRISSYS STAR,13,13/2,15/2,6.9,dirt,1 mile,Ranks #1 in our power figure blend; model 13% vs 6% morning-line implied (+6.9 pts)
SAR,2026-07-24,7,8,MOMMY'S TURN,28,5/2,3/1,8.4,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 28% vs 20% morning-line implied (+8.4 pts)
SAR,2026-07-24,9,1,SPIRIT OF NEW YORK,26,3/1,3/1,14.9,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 26% vs 11% morning-line implied (+14.9 pts)
SAR,2026-07-24,10,9,WAR AND MAJESTY,22,7/2,4/1,10.2,turf,1 1/2 miles,Ranks #1 in our power figure blend; projects as the lone early speed; model 21% vs 11% morning-line implied (+10.2 pts)
