track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-19,1,4,AMERICAN GRANT,14,6/1,7/1,7.8,dirt,1 1/8 miles,Ranks #2 in our power figure blend; model 14% vs 6% morning-line implied (+7.8 pts)
SAR,2026-07-19,2,2,EMERGENCY NINE,17,5/1,11/2,8.0,turf,5 1/2 furlongs,Ranks #2 in our power figure blend; model 17% vs 9% morning-line implied (+8.0 pts)
SAR,2026-07-19,4,5,HOT GOSSIP,21,7/2,4/1,12.5,dirt,1 mile,Ranks #1 in our power figure blend; model 21% vs 9% morning-line implied (+12.5 pts)
SAR,2026-07-19,5,12,PELICAN PRIDE,16,11/2,6/1,7.0,turf,1 1/16 miles,Ranks #2 in our power figure blend; model 16% vs 9% morning-line implied (+7.1 pts)
