track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-22,1,6,MODEST MACLEAN,42,7/5,8/5,8.6,dirt,1 mile,Ranks #1 in our power figure blend; model 42% vs 33% morning-line implied (+8.6 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-22,9,9,PLAYA DEL MAR,28,5/2,3/1,9.2,dirt,1 mile,Ranks #1 in our power figure blend; model 28% vs 19% morning-line implied (+9.2 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-22,10,6,SEGESTA,48,6/5,7/5,13.5,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 48% vs 34% morning-line implied (+13.5 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-22,12,6,MARY LOIS,30,5/2,5/2,12.6,turf,1 3/16 miles,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 30% vs 18% morning-line implied (+12.6 pts),CHECKED_NO_CHANGES,true
