track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,fair_vs_board_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-07,2,2,MIDTOWN MISCHIEF,31,2/1,5/2,8.9,8.9,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 31% vs 22% morning-line implied (+8.9 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-07,3,8,COACH RYAN,28,5/2,3/1,8.4,8.4,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 28% vs 19% morning-line implied (+8.4 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-07,10,2,FITZ RIGHT,27,5/2,3/1,5.1,5.1,turf,1 3/16 miles,Ranks #2 in our power figure blend; model 27% vs 22% morning-line implied (+5.1 pts),CHECKED_WITH_CHANGES,true
