track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-16,2,4,IRISH GOODBYE,28,5/2,7/2,5.3,dirt,1 mile,Ranks #1 in our power figure blend; model 28% vs 22% morning-line implied (+5.3 pts)
SAR,2026-07-16,6,7,JADORLINIJA,15,11/2,15/2,3.8,dirt,1 1/8 miles,Ranks #2 in our power figure blend; closer in a contested-pace setup; model 15% vs 11% morning-line implied (+3.8 pts)
SAR,2026-07-16,7,2,ENGLISH LAW,18,9/2,6/1,5.1,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 18% vs 12% morning-line implied (+5.1 pts)
