track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-23,1,3,BOUNDING ALONG,26,3/1,3/1,8.4,dirt,7 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 26% vs 18% morning-line implied (+8.4 pts)
SAR,2026-07-23,4,2,SPIRIT OF ST LOUIS,33,2/1,5/2,7.3,turf,1 1/8 miles,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 33% vs 26% morning-line implied (+7.3 pts)
SAR,2026-07-23,4,5,SALAMIS,29,5/2,3/1,6.5,turf,1 1/8 miles,Ranks #2 in our power figure blend; closer in a contested-pace setup; model 29% vs 22% morning-line implied (+6.5 pts)
SAR,2026-07-23,7,5,CELTIC DAWN,32,2/1,5/2,9.6,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 32% vs 22% morning-line implied (+9.6 pts)
