track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-30,1,3,FOOLIN,35,9/5,2/1,8.8,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 35% vs 26% morning-line implied (+8.8 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-30,4,4,BOW DRAW,21,4/1,9/2,5.1,dirt,1 mile,Ranks #1 in our power figure blend; model 21% vs 16% morning-line implied (+5.1 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-30,8,10,MODEST MACLEAN,28,5/2,3/1,5.6,dirt,6 furlongs,Ranks #1 in our power figure blend; model 28% vs 22% morning-line implied (+5.6 pts),CHECKED_NO_CHANGES,true
SAR,2026-08-30,9,1,MIDNIGHT CONCERTO,22,7/2,4/1,6.5,turf,1 1/16 miles,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 22% vs 16% morning-line implied (+6.5 pts),CHECKED_NO_CHANGES,true
