track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,fair_vs_board_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-07,1,2,LADY RIDER,37,9/5,2/1,16.5,16.5,turf,5 furlongs,Ranks #1 in our power figure blend; model 37% vs 20% morning-line implied (+16.5 pts),CHECKED_WITH_CHANGES,true
DMR,2026-08-07,6,10,MAKE ME MONEY,24,3/1,7/2,5.9,5.9,dirt,5 1/2 furlongs,Ranks #1 in our power figure blend; projects as the lone early speed; model 24% vs 18% morning-line implied (+5.9 pts),CHECKED_WITH_CHANGES,true
DMR,2026-08-07,8,1,JOINT VENTURE,26,3/1,3/1,8.3,8.3,turf,1 mile,Ranks #1 in our power figure blend; model 26% vs 18% morning-line implied (+8.3 pts),CHECKED_WITH_CHANGES,true
