track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-20,1,6,OATH,52,1/1,6/5,8.0,dirt,1 mile,Ranks #1 in our power figure blend; projects as the lone early speed; model 52% vs 44% morning-line implied (+8.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-20,5,1,HIMOTHY,16,5/1,6/1,7.6,turf,5 1/2 furlongs,Ranks #2 in our power figure blend; model 16% vs 8% morning-line implied (+7.6 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-20,7,3,A LITTLE AT FIRST,35,9/5,2/1,11.5,turf,1 mile,Ranks #1 in our power figure blend; model 35% vs 23% morning-line implied (+11.5 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-20,7,6,SPIRIT OF NEW YORK,20,4/1,9/2,7.3,turf,1 mile,Ranks #2 in our power figure blend; model 20% vs 13% morning-line implied (+7.3 pts),CHECKED_WITH_CHANGES,true
