track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,fair_vs_board_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-13,1,7,LIBERTY'S ADVANCE,28,5/2,3/1,15.2,15.2,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 28% vs 13% morning-line implied (+15.2 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-13,4,1,MAJAZ,38,8/5,9/5,11.8,11.8,turf,1 3/16 miles,Ranks #1 in our power figure blend; model 38% vs 26% morning-line implied (+11.8 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-13,6,1,FIONN,51,1/1,6/5,15.0,15.0,turf,1 mile,Ranks #1 in our power figure blend; model 51% vs 36% morning-line implied (+15.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-13,7,6,SHOOT IT TRUE,48,1/1,6/5,9.0,9.0,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 48% vs 39% morning-line implied (+9.0 pts),CHECKED_WITH_CHANGES,true
