track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-21,3,7,HURRICANE WAY,28,5/2,3/1,7.6,turf,5 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 28% vs 20% morning-line implied (+7.6 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-21,5,2,SEEKING ATTENTION,33,2/1,5/2,10.0,turf,5 furlongs,Ranks #1 in our power figure blend; projects as the lone early speed; model 33% vs 23% morning-line implied (+10.0 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-21,7,1,CANTO DELLA TERRA,28,5/2,3/1,8.3,turf,1 mile,Ranks #1 in our power figure blend; model 28% vs 20% morning-line implied (+8.3 pts),CHECKED_NO_CHANGES,true
