track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-19,2,7,CONCURRENTLY,24,7/2,7/2,6.0,dirt,1 mile,Ranks #1 in our power figure blend; model 24% vs 17% morning-line implied (+6.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-19,5,1,HOT OFF THE BEACH,26,3/1,7/2,9.4,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 26% vs 16% morning-line implied (+9.4 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-19,7,5,CELTIC DAWN,35,9/5,2/1,15.5,turf,1 mile,Ranks #1 in our power figure blend; model 35% vs 20% morning-line implied (+15.5 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-19,8,3,PAULA'S CHOICE,35,9/5,2/1,12.9,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 35% vs 22% morning-line implied (+12.9 pts),CHECKED_WITH_CHANGES,true
