track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-18,4,4,SHAPE NOTE,24,3/1,7/2,9.3,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 24% vs 15% morning-line implied (+9.3 pts)
SAR,2026-07-18,8,2,CY FAIR,38,8/5,9/5,7.4,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 38% vs 31% morning-line implied (+7.4 pts)
SAR,2026-07-18,11,8,JACK AND JIM,30,5/2,5/2,14.4,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 30% vs 16% morning-line implied (+14.4 pts)
SAR,2026-07-18,12,2,APERITIF,25,3/1,7/2,7.5,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 25% vs 17% morning-line implied (+7.5 pts)
