track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-28,1,5,ROCKABYE,39,3/2,9/5,9.0,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 39% vs 30% morning-line implied (+9.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-28,8,5,VENENCIA,12,7/1,8/1,6.2,turf,1 3/8 miles,Ranks #2 in our power figure blend; model 12% vs 6% morning-line implied (+6.2 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-28,8,7,AWESOMESAUCE,21,4/1,9/2,11.9,turf,1 3/8 miles,Ranks #1 in our power figure blend; model 21% vs 9% morning-line implied (+11.9 pts),CHECKED_WITH_CHANGES,true
