track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
DMR,2026-07-17,2,3,VICTORIOUS DREAM,24,3/1,7/2,12.4,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 24% vs 12% morning-line implied (+12.4 pts)
DMR,2026-07-17,3,1,CHARLIE'S CLOCK,32,2/1,5/2,5.5,dirt,5 1/2 furlongs,Ranks #1 in our power figure blend; model 32% vs 27% morning-line implied (+5.5 pts)
DMR,2026-07-17,4,1,CODE DUELLO,24,3/1,7/2,6.1,turf,5 furlongs,Ranks #1 in our power figure blend; model 24% vs 18% morning-line implied (+6.1 pts)
DMR,2026-07-17,8,2,SECURED FREEDOM,11,8/1,9/1,5.4,turf,1 mile,Ranks #1 in our power figure blend; model 11% vs 6% morning-line implied (+5.4 pts)
