track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
DMR,2026-07-23,2,4,PRACTICAL JACK,14,13/2,7/1,7.5,turf,5 furlongs,Ranks #2 in our power figure blend; model 14% vs 6% morning-line implied (+7.6 pts)
DMR,2026-07-23,2,8,CAPTAIN SHREVE,29,5/2,3/1,10.9,turf,5 furlongs,Ranks #1 in our power figure blend; model 29% vs 18% morning-line implied (+10.9 pts)
DMR,2026-07-23,6,8,CANTO DELLA TERRA,24,3/1,7/2,8.1,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 24% vs 16% morning-line implied (+8.1 pts)
DMR,2026-07-23,8,9,SUNTORY TIME,17,5/1,11/2,5.4,turf,1 mile,Ranks #1 in our power figure blend; model 17% vs 11% morning-line implied (+5.4 pts)
