track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
DMR,2026-07-18,3,7,ZIP ME UP,19,9/2,5/1,8.2,turf,5 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 19% vs 10% morning-line implied (+8.2 pts)
DMR,2026-07-18,6,9,NET PAR,28,5/2,3/1,5.6,dirt,5 furlongs,Ranks #1 in our power figure blend; model 28% vs 23% morning-line implied (+5.6 pts)
DMR,2026-07-18,7,6,CENTRODELANTERO,22,7/2,4/1,6.0,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 22% vs 16% morning-line implied (+6.0 pts)
DMR,2026-07-18,11,6,KOEKKOEK,27,5/2,3/1,10.9,turf,1 mile,Ranks #1 in our power figure blend; model 27% vs 16% morning-line implied (+10.9 pts)
