track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-30,2,3,CHISELED IN STONE,36,9/5,2/1,13.8,turf,5 furlongs,Ranks #1 in our power figure blend; projects as the lone early speed; model 36% vs 23% morning-line implied (+13.8 pts),NOT_YET_CHECKED,false
DMR,2026-08-30,7,5,MOHAVEN,26,3/1,3/1,8.4,dirt,1 mile,Ranks #1 in our power figure blend; model 26% vs 18% morning-line implied (+8.4 pts),NOT_YET_CHECKED,false
DMR,2026-08-30,10,9,CALL ME SIR,18,9/2,5/1,5.0,turf,1 mile,Ranks #1 in our power figure blend; model 18% vs 13% morning-line implied (+5.0 pts),NOT_YET_CHECKED,false
