track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-14,4,10,ZALAMO,18,9/2,5/1,6.5,turf,1 mile,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 18% vs 11% morning-line implied (+6.5 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-14,6,2,POKERKNIGHTATVEES,24,3/1,7/2,14.6,turf,5 furlongs,Ranks #1 in our power figure blend; model 24% vs 9% morning-line implied (+14.6 pts),CHECKED_NO_CHANGES,true
DMR,2026-08-14,8,4,DANZING DAISY,31,2/1,5/2,17.7,turf,1 mile,Ranks #1 in our power figure blend; model 31% vs 13% morning-line implied (+17.7 pts),CHECKED_NO_CHANGES,true
