track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-09,1,7,ULYSSES ROSE,39,8/5,9/5,16.0,turf,1 1/8 miles,Ranks #1 in our power figure blend; model 39% vs 23% morning-line implied (+16.0 pts),CHECKED_WITH_CHANGES,true
DMR,2026-08-09,5,9,ENTERDADRAGON,27,5/2,3/1,11.3,turf,5 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 27% vs 16% morning-line implied (+11.3 pts),CHECKED_WITH_CHANGES,true
