track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-08-27,1,7,SILKIE SEVEI,30,5/2,5/2,10.3,turf,1 1/16 miles,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 30% vs 20% morning-line implied (+10.3 pts),NOT_YET_CHECKED,false
DMR,2026-08-27,5,4,JET BLACK JEWEL,32,2/1,5/2,11.7,turf,1 1/16 miles,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 32% vs 20% morning-line implied (+11.7 pts),NOT_YET_CHECKED,false
