track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-08-15,5,8,CONSIDERATE CITY,38,8/5,9/5,7.7,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 38% vs 30% morning-line implied (+7.7 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-15,7,6,CANDYTOWN,25,3/1,7/2,11.0,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 25% vs 14% morning-line implied (+11.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-15,9,7,SURVIE,29,5/2,3/1,18.0,turf,1 1/2 miles,Ranks #1 in our power figure blend; model 29% vs 11% morning-line implied (+18.0 pts),CHECKED_WITH_CHANGES,true
SAR,2026-08-15,10,5,CADENZA,27,5/2,3/1,9.6,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 27% vs 17% morning-line implied (+9.6 pts),CHECKED_WITH_CHANGES,true
