track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
SAR,2026-07-17,1,3,BEIJING,22,7/2,4/1,5.9,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 21% vs 16% morning-line implied (+5.9 pts)
SAR,2026-07-17,5,1,BOSTON'S PHINEST,16,5/1,6/1,8.9,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 16% vs 7% morning-line implied (+8.9 pts)
SAR,2026-07-17,8,2,ICE CHOCOLAT,19,4/1,9/2,9.2,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 19% vs 10% morning-line implied (+9.2 pts)
SAR,2026-07-17,9,9,DEEP SATIN,13,13/2,15/2,5.3,turf,1 mile,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 13% vs 8% morning-line implied (+5.3 pts)
