track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
DMR,2026-07-31,1,4,I'M OTTER HERE,17,5/1,11/2,5.3,turf,5 furlongs,Ranks #1 in our power figure blend; model 17% vs 12% morning-line implied (+5.3 pts),CHECKED_NO_CHANGES,true
DMR,2026-07-31,4,5,MARCH OF TIME,19,9/2,5/1,7.3,dirt,6 furlongs,Ranks #2 in our power figure blend; closer in a contested-pace setup; model 19% vs 12% morning-line implied (+7.4 pts),CHECKED_NO_CHANGES,true
DMR,2026-07-31,6,7,SOGNO DI VINO,18,9/2,5/1,7.0,turf,1 1/16 miles,Ranks #2 in our power figure blend; model 18% vs 11% morning-line implied (+7.0 pts),CHECKED_NO_CHANGES,true
DMR,2026-07-31,6,9,KOKOSAN,25,3/1,7/2,5.3,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 25% vs 20% morning-line implied (+5.3 pts),CHECKED_NO_CHANGES,true
