track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-09-05,3,4,HIGHLANDS WAY,34,2/1,5/2,5.7,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 34% vs 28% morning-line implied (+5.7 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-05,8,5,RELATED PARTY,31,5/2,5/2,8.3,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 31% vs 22% morning-line implied (+8.3 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-05,9,1,ANYWAY,20,4/1,9/2,9.4,turf,5 1/2 furlongs,Ranks #1 in our power figure blend; model 20% vs 11% morning-line implied (+9.4 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-05,12,7,GRISELDA,23,7/2,4/1,7.2,turf,1 1/16 miles,Ranks #2 in our power figure blend; model 23% vs 16% morning-line implied (+7.2 pts),CHECKED_NO_CHANGES,true
