track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason
DMR,2026-07-19,1,7,FREDDY FIVE FOUR,15,6/1,13/2,5.8,dirt,5 1/2 furlongs,Ranks #2 in our power figure blend; model 15% vs 9% morning-line implied (+5.8 pts)
DMR,2026-07-19,3,6,MOTORIOUS,38,8/5,9/5,11.4,turf,5 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 38% vs 27% morning-line implied (+11.4 pts)
DMR,2026-07-19,7,2,FAIR QUESTION,15,6/1,13/2,5.9,turf,5 furlongs,Ranks #1 in our power figure blend; model 15% vs 9% morning-line implied (+5.9 pts)
DMR,2026-07-19,11,6,ZALAMO,21,7/2,4/1,10.1,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 21% vs 11% morning-line implied (+10.1 pts)
