track,date,race,program,horse,model_win_pct,fair_odds,play_at,edge_pts,surface,distance,reason,scratch_state,scratch_confirmed
SAR,2026-09-04,3,7,RUN CLASSIC,11,15/2,9/1,5.5,dirt,6 furlongs,Ranks #1 in our power figure blend; closer in a contested-pace setup; model 11% vs 6% morning-line implied (+5.5 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-04,4,5,BALIAGE,43,7/5,3/2,21.2,turf,1 1/16 miles,Ranks #1 in our power figure blend; model 43% vs 22% morning-line implied (+21.2 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-04,8,8,ICE CHOCOLAT,17,5/1,11/2,8.0,turf,5 1/2 furlongs,Ranks #2 in our power figure blend; model 17% vs 9% morning-line implied (+8.0 pts),CHECKED_NO_CHANGES,true
SAR,2026-09-04,10,2,SHE TAKES CASH,14,13/2,7/1,5.0,turf,1 1/16 miles,Ranks #2 in our power figure blend; model 14% vs 9% morning-line implied (+5.0 pts),CHECKED_NO_CHANGES,true
